ticker,model,quarter,p_high_filtered,p_high_smoothed,viterbi_state,caveat
NVDA,B,2005Q1,0.00011772446087656686,7.538125483240635e-05,0,"descriptive Step-4 analysis (filing-dated patents, as_filed financials, full-sample parameters); filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
NVDA,B,2005Q2,0.04915668300178231,0.03061925696899038,0,
NVDA,B,2005Q3,0.09363532233868377,0.05652537568045408,0,
NVDA,B,2005Q4,0.13397772389298923,0.07804073918177207,0,
NVDA,B,2006Q1,0.1705685321423453,0.0953704856262649,0,
NVDA,B,2006Q2,0.2037566220119791,0.10867984541698311,0,
NVDA,B,2006Q3,0.233858425221376,0.11809571659537393,0,
NVDA,B,2006Q4,0.2611609473013325,0.12370787475018442,0,
NVDA,B,2007Q1,0.28592450404712255,0.1255698289824785,0,
NVDA,B,2007Q2,0.30838520349848064,0.12369933208796281,0,
NVDA,B,2007Q3,0.32875719711082796,0.11807854982094898,0,
NVDA,B,2007Q4,0.34723472158152857,0.10865389085380713,0,
NVDA,B,2008Q1,0.363993950798958,0.09533549581065286,0,
NVDA,B,2008Q2,0.37919467557178754,0.07799638050345738,0,
NVDA,B,2008Q3,0.392981827153855,0.056471225201783215,0,
NVDA,B,2008Q4,0.40548685909066584,0.030554798392424816,0,
NVDA,B,2009Q1,6.789368596029917e-12,3.137402357988666e-13,0,
NVDA,B,2009Q2,2.749614156538237e-19,1.2706695259766252e-20,0,
NVDA,B,2009Q3,2.3696827033903246e-06,1.0959483487441997e-07,0,
NVDA,B,2009Q4,3.979543208590127e-05,1.960267771664831e-06,0,
NVDA,B,2010Q1,0.0033817426249096788,0.0001567777585306929,0,
NVDA,B,2010Q2,1.9801209004903917e-22,9.156948311406619e-24,0,
NVDA,B,2010Q3,3.758298077177565e-05,1.7419413734008971e-06,0,
NVDA,B,2010Q4,0.0001510630621570858,7.05204278037396e-06,0,
NVDA,B,2011Q1,0.0004898578412460735,2.4011026021385717e-05,0,
NVDA,B,2011Q2,0.002873512009346839,0.00014448128165531147,0,
NVDA,B,2011Q3,0.004529892056291984,0.00021356977622261522,0,
NVDA,B,2011Q4,0.0008795815950862161,4.101384011703212e-05,0,
NVDA,B,2012Q1,0.00042076728467889553,1.9833958371034938e-05,0,
NVDA,B,2012Q2,0.0009752525737613132,4.708661381676159e-05,0,
NVDA,B,2012Q3,0.0021749233597655594,0.00010617370178096881,0,
NVDA,B,2012Q4,0.0026758510817684574,0.00013431910306876862,0,
NVDA,B,2013Q1,0.003712206159581406,0.0002087866057163586,0,
NVDA,B,2013Q2,0.009417784919236593,0.0005424342036924729,0,
NVDA,B,2013Q3,0.013207224060713658,0.0006625279287690871,0,
NVDA,B,2013Q4,0.0040532334659054885,0.000215381370579915,0,
NVDA,B,2014Q1,0.0065968659928478625,0.0003731215282552749,0,
NVDA,B,2014Q2,0.010543118422221609,0.0005804809891856147,0,
NVDA,B,2014Q3,0.009316589788502961,0.0005150937661760477,0,
NVDA,B,2014Q4,0.009055019256308104,0.0005224825516776782,0,
NVDA,B,2015Q1,0.01135284114174896,0.0006659606291332627,0,
NVDA,B,2015Q2,0.005835929497848903,0.0007435709478048168,0,
NVDA,B,2015Q3,0.009083741643629363,0.004613085270973498,0,
NVDA,B,2015Q4,0.01175725613176155,0.027715021149787605,0,
NVDA,B,2016Q1,0.0197339298275006,0.14473497298082413,0,
NVDA,B,2016Q2,0.05133539432628033,0.5119830392650728,0,
NVDA,B,2016Q3,0.9513801883069183,0.9973774484300753,1,
NVDA,B,2016Q4,0.9997240168373324,0.9999856068042022,1,
NVDA,B,2017Q1,0.999246195994848,0.9999611210690995,1,
NVDA,B,2017Q2,0.9998413602208622,0.9999889055217365,1,
NVDA,B,2017Q3,0.9853263080881047,0.9991345500259738,1,
NVDA,B,2017Q4,0.9918810153833079,0.9995801924767619,1,
NVDA,B,2018Q1,0.9999961097158375,0.9999997705699052,1,
NVDA,B,2018Q2,0.9981583795761807,0.9996446695140874,1,
NVDA,B,2018Q3,0.9604934107603949,0.9931934740016591,1,
NVDA,B,2018Q4,0.8714498721470015,0.9899732351026275,1,
NVDA,B,2019Q1,0.9712207124388164,0.9966635138224644,1,
NVDA,B,2019Q2,0.9523051853929048,0.9953273434192564,1,
NVDA,B,2019Q3,0.9281597239583815,0.9959235914149039,1,
NVDA,B,2019Q4,0.9963741869148445,0.9998053489000821,1,
NVDA,B,2020Q1,0.997894176197244,0.999890283954347,1,
NVDA,B,2020Q2,0.9993471018372049,0.99996644684338,1,
NVDA,B,2020Q3,0.9999497974034478,0.9999974234723804,1,
NVDA,B,2020Q4,0.9999857834958824,0.9999992706205094,1,
NVDA,B,2021Q1,0.9999999943294924,0.9999999997090399,1,
NVDA,B,2021Q2,0.999998630961712,0.9999999294725963,1,
NVDA,B,2021Q3,0.999811170063568,0.9999902026912263,1,
NVDA,B,2021Q4,0.9998954767972005,0.9999734624685914,1,
NVDA,B,2022Q1,0.9995606457678953,0.9905960496273155,1,
NVDA,B,2022Q2,0.0010581311065453072,0.001944045779804493,0,
NVDA,B,2022Q3,0.006977776429425015,0.09391068177820852,0,
NVDA,B,2022Q4,0.205785450698387,0.7789796884652479,1,
NVDA,B,2023Q1,0.4138648643736436,0.932262056301801,1,
NVDA,B,2023Q2,0.9999999999229914,0.9999999999960423,1,
NVDA,B,2023Q3,1.0,1.0,1,
NVDA,B,2023Q4,1.0,1.0,1,
NVDA,C,2005Q1,1.0197959130606172e-09,5.474551745999119e-10,0,"descriptive Step-4 analysis (filing-dated patents, as_filed financials, full-sample parameters); filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
NVDA,C,2005Q2,0.029340222614565974,0.047132288732786076,0,
NVDA,C,2005Q3,0.02479785988961066,0.19834107150993435,0,
NVDA,C,2005Q4,0.9974928199536609,0.997504516531809,1,
NVDA,C,2006Q1,0.6606613682522741,0.9253384264832083,1,
NVDA,C,2006Q2,0.8169435355891224,0.9697108357870117,1,
NVDA,C,2006Q3,0.9021167305245825,0.9889956235537929,1,
NVDA,C,2006Q4,0.9999871911434204,0.9999835795170916,1,
NVDA,C,2007Q1,0.6080572296089825,0.90409801876526,1,
NVDA,C,2007Q2,0.7572602511495987,0.9589424783764063,1,
NVDA,C,2007Q3,0.8935090049335672,0.987932947311109,1,
NVDA,C,2007Q4,0.9999995629287315,0.9999951475659324,1,
NVDA,C,2008Q1,0.43855576264400936,0.10577255534908395,0,
NVDA,C,2008Q2,0.07440789260794287,0.05641026549572126,0,
NVDA,C,2008Q3,0.031037301714453472,0.1153504509211145,0,
NVDA,C,2008Q4,0.9192841773204466,0.4786889446914889,0,
NVDA,C,2009Q1,3.8817360357676524e-05,3.1297102944439305e-06,0,
NVDA,C,2009Q2,1.780638651945272e-08,1.45123750564859e-09,0,
NVDA,C,2009Q3,0.0003390306550693787,9.063563665111467e-05,0,
NVDA,C,2009Q4,0.1962563064105095,0.019345365017675507,0,
NVDA,C,2010Q1,0.0007044586225585944,5.683284860564011e-05,0,
NVDA,C,2010Q2,8.737457066565328e-10,7.182935762988862e-11,0,
NVDA,C,2010Q3,0.002012431169951522,0.00016373901088735833,0,
NVDA,C,2010Q4,0.0007564507390836943,6.210999407344957e-05,0,
NVDA,C,2011Q1,0.0017373225154524096,0.0001484506941082837,0,
NVDA,C,2011Q2,0.005906812949600671,0.00049254407065294,0,
NVDA,C,2011Q3,0.002696170671960725,0.00025241379451839546,0,
NVDA,C,2011Q4,0.0057350905931163,0.0013534548860090036,0,
NVDA,C,2012Q1,0.011235892369841625,0.016819946175807638,0,
NVDA,C,2012Q2,0.02614430460956237,0.1607838833626539,0,
NVDA,C,2012Q3,0.2576312052835619,0.7720566667859244,1,
NVDA,C,2012Q4,0.9999999534959738,0.9999999952239591,1,
NVDA,C,2013Q1,0.9998028246727091,0.9999797826637501,1,
NVDA,C,2013Q2,0.9999553277333237,0.9999954220735585,1,
NVDA,C,2013Q3,0.9999894096137635,0.9999989065632074,1,
NVDA,C,2013Q4,0.9997360485187153,0.99993604423648,1,
NVDA,C,2014Q1,0.9990667967812306,0.9885990705994089,1,
NVDA,C,2014Q2,0.053765333180985274,0.004578369973617364,0,
NVDA,C,2014Q3,0.0006387874496194969,5.1678554701088484e-05,0,
NVDA,C,2014Q4,0.0002890854905639469,2.3893338162837342e-05,0,
NVDA,C,2015Q1,0.002505895497744572,0.0002078144451872188,0,
NVDA,C,2015Q2,0.00259793643738405,0.00022391759259861855,0,
NVDA,C,2015Q3,0.006420800638343403,0.0005679487339772504,0,
NVDA,C,2015Q4,0.009620686137400306,0.0008027122852526287,0,
NVDA,C,2016Q1,0.0028852421807242985,0.00023463441710548563,0,
NVDA,C,2016Q2,0.0006210914010089201,5.1296427599920964e-05,0,
NVDA,C,2016Q3,0.002246050633972253,0.00019956139699899884,0,
NVDA,C,2016Q4,0.009917252071509635,0.0008491860540568179,0,
NVDA,C,2017Q1,0.00558651346625778,0.00047892005649048756,0,
NVDA,C,2017Q2,0.006200216209829981,0.0005082676721265149,0,
NVDA,C,2017Q3,0.0011439836336670558,9.698258006598013e-05,0,
NVDA,C,2017Q4,0.0021494755611040296,0.00042449445656114363,0,
NVDA,C,2018Q1,0.09727692195709377,0.01228632475133421,0,
NVDA,C,2018Q2,0.007489044164958128,0.007288227021849967,0,
NVDA,C,2018Q3,0.01731679063425494,0.09826177712965296,0,
NVDA,C,2018Q4,0.17638705608375663,0.6663665285138184,1,
NVDA,C,2019Q1,0.9007585262524311,0.9847905729079904,1,
NVDA,C,2019Q2,0.9382877171192586,0.9928536941893339,1,
NVDA,C,2019Q3,0.9914326789537791,0.9989776548033352,1,
NVDA,C,2019Q4,0.9870922346033504,0.9985641206823439,1,
NVDA,C,2020Q1,0.993160457718804,0.9992921266340754,1,
NVDA,C,2020Q2,0.9996545778460851,0.999964585978768,1,
NVDA,C,2020Q3,0.9999749855660411,0.9999974199231789,1,
NVDA,C,2020Q4,0.9994600651669492,0.9999446435985611,1,
NVDA,C,2021Q1,0.9999887827905686,0.9999988506194553,1,
NVDA,C,2021Q2,0.9999965828105651,0.9999996497962842,1,
NVDA,C,2021Q3,0.9999823735498641,0.9999981937395829,1,
NVDA,C,2021Q4,0.9999902225222231,0.9999989981781043,1,
NVDA,C,2022Q1,0.9999993500410777,0.9999999331087133,1,
NVDA,C,2022Q2,0.9996384640961513,0.9999629443220452,1,
NVDA,C,2022Q3,0.999998887313887,0.9999998859919467,1,
NVDA,C,2022Q4,0.9999988091048223,0.9999998779781055,1,
NVDA,C,2023Q1,0.9999985962128525,0.9999998561671181,1,
NVDA,C,2023Q2,0.9999999959324555,0.9999999995832809,1,
NVDA,C,2023Q3,1.0,1.0,1,
NVDA,C,2023Q4,1.0,1.0,1,
AMD,B,2005Q1,0.0003018319207077542,0.00021048483644578602,0,"descriptive Step-4 analysis (filing-dated patents, as_filed financials, full-sample parameters); filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
AMD,B,2005Q2,0.04855050005047285,0.03307954391658901,0,
AMD,B,2005Q3,0.09216272566672862,0.06116155420955254,0,
AMD,B,2005Q4,0.1315840464395152,0.08474339842446786,0,
AMD,B,2006Q1,0.1672171862188273,0.10406598607187205,0,
AMD,B,2006Q2,0.19942616921689338,0.11932671456861416,0,
AMD,B,2006Q3,0.22854003883923898,0.13068148582800762,0,
AMD,B,2006Q4,0.2548562191557002,0.13824629893653276,0,
AMD,B,2007Q1,0.27864355335180296,0.1420984351876566,0,
AMD,B,2007Q2,0.3001450502009919,0.14227724757898055,0,
AMD,B,2007Q3,0.31958036661536454,0.13878456283810234,0,
AMD,B,2007Q4,0.3371480516363742,0.13158470008426995,0,
AMD,B,2008Q1,0.35302757478986274,0.12060410631644353,0,
AMD,B,2008Q2,0.3673811595268736,0.10573060500398931,0,
AMD,B,2008Q3,0.3803554404804733,0.08681225010364631,0,
AMD,B,2008Q4,0.3920829614689337,0.06365577379557473,0,
AMD,B,2009Q1,0.40268352954871006,0.0360246120806933,0,
AMD,B,2009Q2,0.00044214121091847106,0.003636488069046043,0,
AMD,B,2009Q3,0.07085848077901456,0.41896971153964485,1,
AMD,B,2009Q4,0.1123270271135504,0.6955822977209468,1,
AMD,B,2010Q1,0.665187880303398,0.9740567132717857,1,
AMD,B,2010Q2,0.9792599363886871,0.9988033843031918,1,
AMD,B,2010Q3,0.9932491856142447,0.9995805549647322,1,
AMD,B,2010Q4,0.9951487027245662,0.9993691214991846,1,
AMD,B,2011Q1,0.9705804219201071,0.9956488310924699,1,
AMD,B,2011Q2,0.98518860071313,0.9924838721222558,1,
AMD,B,2011Q3,0.9887661777772876,0.9705754210835631,1,
AMD,B,2011Q4,0.9907355268084224,0.8430858081924959,1,
AMD,B,2012Q1,2.4223718868527024e-109,6.379953322461906e-110,0,
AMD,B,2012Q2,0.17897768005983555,0.01083392119329995,0,
AMD,B,2012Q3,1.3015030336635534e-13,6.539096275297544e-15,0,
AMD,B,2012Q4,3.063421587724173e-54,1.7185098226498255e-55,0,
AMD,B,2013Q1,0.0057882825982574675,0.0002976227046351637,0,
AMD,B,2013Q2,0.001006030878686228,5.0594492155309945e-05,0,
AMD,B,2013Q3,5.040845147969495e-07,2.5326617157830226e-08,0,
AMD,B,2013Q4,1.257604648551964e-07,6.3185516013704525e-09,0,
AMD,B,2014Q1,9.409114675336515e-08,4.727392049695367e-09,0,
AMD,B,2014Q2,3.198449827246818e-08,1.606986436028083e-09,0,
AMD,B,2014Q3,1.2706218859993625e-08,6.383941279744192e-10,0,
AMD,B,2014Q4,1.2531247566218649e-17,6.296030986200816e-19,0,
AMD,B,2015Q1,4.458791341616453e-13,2.240214974546047e-14,0,
AMD,B,2015Q2,2.972375720794952e-27,1.4934003611133655e-28,0,
AMD,B,2015Q3,1.576197524372012e-32,7.919234219332073e-34,0,
AMD,B,2015Q4,1.0160919433657811e-16,5.105115294499725e-18,0,
AMD,B,2016Q1,5.9014003584046616e-12,2.965019988801246e-13,0,
AMD,B,2016Q2,1.1035512191759814e-13,5.544533881416242e-15,0,
AMD,B,2016Q3,7.026525859477511e-98,3.530312868089459e-99,0,
AMD,B,2016Q4,1.4745410890533593e-14,7.408485338723797e-16,0,
AMD,B,2017Q1,1.5801925007114696e-18,7.939320701433149e-20,0,
AMD,B,2017Q2,9.386853356141555e-08,4.716431153307575e-09,0,
AMD,B,2017Q3,2.4285182429645973e-06,1.2279348321476702e-07,0,
AMD,B,2017Q4,0.00032398695204736516,1.6285296886964097e-05,0,
AMD,B,2018Q1,7.278855448912737e-06,3.6669642737831104e-07,0,
AMD,B,2018Q2,0.00012854713554275856,6.878982136060057e-06,0,
AMD,B,2018Q3,0.0032803187591982194,0.00016634117212598615,0,
AMD,B,2018Q4,7.125552108438007e-05,1.668370348197591e-05,0,
AMD,B,2019Q1,0.006945780275889739,0.009360079592233785,0,
AMD,B,2019Q2,0.005511839359987508,0.07452942393916936,0,
AMD,B,2019Q3,0.13817525777850773,0.7556387036035354,1,
AMD,B,2019Q4,0.9051733468144028,0.9945432823142536,1,
AMD,B,2020Q1,0.9954298836106407,0.999741728506554,1,
AMD,B,2020Q2,0.9941250862624306,0.9996940248652711,1,
AMD,B,2020Q3,0.9988133947187477,0.99993868950582,1,
AMD,B,2020Q4,0.9990775240312046,0.9999531548703875,1,
AMD,B,2021Q1,0.9999642222880658,0.9999981849354201,1,
AMD,B,2021Q2,0.999973153494559,0.9999985941594721,1,
AMD,B,2021Q3,0.9986204462459226,0.9999162169118878,1,
AMD,B,2021Q4,0.9900047641383086,0.9994850081340205,1,
AMD,B,2022Q1,0.9996056760241008,0.9999798706813938,1,
AMD,B,2022Q2,0.9997760435491784,0.9999834268019218,1,
AMD,B,2022Q3,0.9844322632323181,0.998821930901253,1,
AMD,B,2022Q4,0.9792831594819978,0.9984203073234036,1,
AMD,B,2023Q1,0.9766962633272737,0.9982785039202803,1,
AMD,B,2023Q2,0.9814939902555806,0.9984000700455465,1,
AMD,B,2023Q3,0.9876276816687138,0.9976284920826768,1,
AMD,B,2023Q4,0.9912699872197233,0.9912699872197233,1,
AMD,C,2005Q1,2.929574198149157e-05,1.1273454786414937e-05,0,"descriptive Step-4 analysis (filing-dated patents, as_filed financials, full-sample parameters); filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
AMD,C,2005Q2,0.06121045316525933,0.01567976350051597,0,
AMD,C,2005Q3,0.10121750603227202,0.021681240796245907,0,
AMD,C,2005Q4,0.09797812006485218,0.023305729662902643,0,
AMD,C,2006Q1,0.04780293601577326,0.026153689136942788,0,
AMD,C,2006Q2,0.08415198353151686,0.045944322329334736,0,
AMD,C,2006Q3,0.11007771827450843,0.06301461053722765,0,
AMD,C,2006Q4,0.18751425817267614,0.07926034531203152,0,
AMD,C,2007Q1,0.20733867941899942,0.08329887194515238,0,
AMD,C,2007Q2,0.33854339669896105,0.08490423800780011,0,
AMD,C,2007Q3,0.3488636628687308,0.06861547819520457,0,
AMD,C,2007Q4,0.3117113216192594,0.049048701949469115,0,
AMD,C,2008Q1,0.1855136116136877,0.0317139157986536,0,
AMD,C,2008Q2,0.17784231394252248,0.02568479020209217,0,
AMD,C,2008Q3,0.17605107087126837,0.01914103907395077,0,
AMD,C,2008Q4,0.1321825793122745,0.01127095196169238,0,
AMD,C,2009Q1,0.10174840938522892,0.005434502790386637,0,
AMD,C,2009Q2,3.30755269222096e-05,0.00016050401677161207,0,
AMD,C,2009Q3,0.037116442138296867,0.223214545229561,0,
AMD,C,2009Q4,0.0505259569584827,0.4893807779338566,0,
AMD,C,2010Q1,0.35247390354420566,0.9149323710139843,1,
AMD,C,2010Q2,0.8723910764348186,0.9925813826714502,1,
AMD,C,2010Q3,0.9829735371071144,0.9990801528970723,1,
AMD,C,2010Q4,0.9987080060663708,0.9995581506490069,1,
AMD,C,2011Q1,0.9138309779591037,0.9856419543016791,1,
AMD,C,2011Q2,0.9499578965422091,0.9848781626205944,1,
AMD,C,2011Q3,0.967053755513948,0.9758249622591674,1,
AMD,C,2011Q4,0.9973042661197157,0.9458668896065181,1,
AMD,C,2012Q1,4.4273751843993615e-114,5.5851763695118015e-115,0,
AMD,C,2012Q2,0.07222819594324471,0.00366343128631983,0,
AMD,C,2012Q3,2.8612290230734944e-14,1.351353601200428e-15,0,
AMD,C,2012Q4,3.739254489976155e-55,1.8402565959562286e-56,0,
AMD,C,2013Q1,0.0018961144688344022,9.21276644880599e-05,0,
AMD,C,2013Q2,0.0012977786420393853,6.136994364045992e-05,0,
AMD,C,2013Q3,1.5267857577656212e-07,7.210987430929983e-09,0,
AMD,C,2013Q4,2.0700391278325695e-08,9.776763487515032e-10,0,
AMD,C,2014Q1,1.7573339049941963e-08,8.299859284720575e-10,0,
AMD,C,2014Q2,5.60009943904428e-09,2.64491758490436e-10,0,
AMD,C,2014Q3,2.288860121561152e-09,1.0810247448623536e-10,0,
AMD,C,2014Q4,1.3735023244713253e-18,6.48702811786442e-20,0,
AMD,C,2015Q1,3.483363323496557e-14,1.6451865731601214e-15,0,
AMD,C,2015Q2,1.2307738851876165e-28,5.812924126657248e-30,0,
AMD,C,2015Q3,2.3181276522222096e-34,1.0948477474576335e-35,0,
AMD,C,2015Q4,6.849759591345713e-18,3.235129804909508e-19,0,
AMD,C,2016Q1,4.792975073856799e-13,2.263713975460896e-14,0,
AMD,C,2016Q2,2.332435095306088e-14,1.1016051284920175e-15,0,
AMD,C,2016Q3,1.6271005482394167e-101,7.684768215501165e-103,0,
AMD,C,2016Q4,4.058238828722003e-15,1.9166992965259966e-16,0,
AMD,C,2017Q1,1.2702388150072707e-19,5.999319101296983e-21,0,
AMD,C,2017Q2,2.15276289437675e-08,1.016756609168695e-09,0,
AMD,C,2017Q3,4.633377993946435e-07,2.2284250117922795e-08,0,
AMD,C,2017Q4,0.0008496360861076344,4.016151954572059e-05,0,
AMD,C,2018Q1,9.891343354549108e-07,4.6770455720790605e-08,0,
AMD,C,2018Q2,5.0260489760986e-05,2.5231909013116405e-06,0,
AMD,C,2018Q3,0.0029053764897984846,0.00013801559282213314,0,
AMD,C,2018Q4,9.211089310125332e-05,7.015379605004624e-06,0,
AMD,C,2019Q1,0.0019165605785861665,0.0013453744072830151,0,
AMD,C,2019Q2,0.0020691866664349465,0.03159051954193154,0,
AMD,C,2019Q3,0.11534911102100667,0.7366579570140368,1,
AMD,C,2019Q4,0.9687835696395691,0.9983220379126748,1,
AMD,C,2020Q1,0.9922364394165344,0.9995353851922372,1,
AMD,C,2020Q2,0.9847533093038532,0.9992780294498669,1,
AMD,C,2020Q3,0.9995314203176846,0.99997820794927,1,
AMD,C,2020Q4,0.9998263020932728,0.9999919462129895,1,
AMD,C,2021Q1,0.9999573636137901,0.999998023418946,1,
AMD,C,2021Q2,0.9999597153798521,0.9999981150280208,1,
AMD,C,2021Q3,0.999520428272065,0.9999776296446566,1,
AMD,C,2021Q4,0.9996864341733688,0.9999852805400907,1,
AMD,C,2022Q1,0.9993732924424068,0.9999708974705788,1,
AMD,C,2022Q2,0.9999130912689146,0.9999955838480074,1,
AMD,C,2022Q3,0.9955432175494779,0.9997869816712249,1,
AMD,C,2022Q4,0.9988352613636525,0.9999338808144095,1,
AMD,C,2023Q1,0.990026271343148,0.9994962094747019,1,
AMD,C,2023Q2,0.9956832848946388,0.9997867089688914,1,
AMD,C,2023Q3,0.9975512040406298,0.999850663228321,1,
AMD,C,2023Q4,0.9992767988129839,0.9992767988129839,1,
